ESPECIFICAÇÃO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aprendizagem Cooperativa,-,-,-,-,-,-,98,226,250,250,233
Apoio Administrativo,-,-,-,-,-,-,-,100,100,200,170
Cultura e Arte,-,-,-,-,-,-,64,64,64,80,100
Desporto,-,-,-,-,-,-,-,30,50,100,100
Extensão,-,-,-,-,-,-,274,378,618,670,650
Iniciação Científica - PIBIC,-,-,-,-,665,726,782,769,942,925,914
Iniciação Acadêmica - PRAE,-,-,-,-,-,-,500,580,826,756,900
Iniciação à Docência - Remunerada - PIBID,-,-,-,-,-,-,442,605,700,788,732
Informática,-,-,-,-,-,-,95,95,100,100,100
Monitoria de Projeto (Graduação),-,-,-,-,-,-,137,256,300,299,276
Programa de Educação Tutorial - PET - UFC,-,-,-,-,-,24,76,156,280,288,288
Programa de Educação Tutorial - PET - SESu,-,-,-,-,-,204,204,204,252,252,252